date,name,weight,std
2020-03-13T00:00:00Z,simone,9.9375,NA
2020-03-13T00:00:00Z,gagne,NA,NA
2020-03-20T00:00:00Z,raisin,17.625,NA
2020-03-20T00:00:00Z,simone,10.1875,NA
2020-03-20T00:00:00Z,gagne,NA,NA
2020-03-24T00:00:00Z,raisin,17.5625,NA
2020-03-24T00:00:00Z,simone,10.0625,NA
2020-03-24T00:00:00Z,gagne,NA,NA
2020-03-30T00:00:00Z,raisin,17.875,NA
2020-03-30T00:00:00Z,simone,10.0625,NA
2020-03-30T00:00:00Z,gagne,NA,NA
2020-04-03T00:00:00Z,raisin,17.875,NA
2020-04-03T00:00:00Z,simone,10.0625,NA
2020-04-03T00:00:00Z,gagne,NA,NA
2020-04-06T00:00:00Z,raisin,17.8125,NA
2020-04-06T00:00:00Z,simone,10.3125,NA
2020-04-06T00:00:00Z,gagne,NA,NA
2020-04-10T00:00:00Z,raisin,17.8125,NA
2020-04-10T00:00:00Z,simone,10.1875,NA
2020-04-10T00:00:00Z,gagne,NA,NA
2020-04-17T00:00:00Z,raisin,17.9375,NA
2020-04-17T00:00:00Z,simone,10.5,NA
2020-04-17T00:00:00Z,gagne,NA,NA
2020-04-20T00:00:00Z,raisin,17.9375,NA
2020-04-20T00:00:00Z,simone,10.5625,NA
2020-04-20T00:00:00Z,gagne,NA,NA
2020-04-26T00:00:00Z,raisin,18.125,NA
2020-04-26T00:00:00Z,simone,10.375,NA
2020-04-26T00:00:00Z,gagne,NA,NA
2020-05-02T00:00:00Z,raisin,18.3125,NA
2020-05-02T00:00:00Z,simone,10.375,NA
2020-05-02T00:00:00Z,gagne,NA,NA
2020-05-06T00:00:00Z,raisin,18.1875,NA
2020-05-06T00:00:00Z,simone,10.4375,NA
2020-05-06T00:00:00Z,gagne,NA,NA
2020-05-12T00:00:00Z,raisin,18.375,NA
2020-05-12T00:00:00Z,simone,10.375,NA
2020-05-12T00:00:00Z,gagne,NA,NA
2020-05-16T00:00:00Z,raisin,18.375,NA
2020-05-16T00:00:00Z,simone,10.5,NA
2020-05-16T00:00:00Z,gagne,NA,NA
2020-05-20T00:00:00Z,raisin,18.4375,NA
2020-05-20T00:00:00Z,simone,10.5625,NA
2020-05-20T00:00:00Z,gagne,NA,NA
2020-05-22T00:00:00Z,raisin,18.5625,NA
2020-05-22T00:00:00Z,simone,10.8125,NA
2020-05-22T00:00:00Z,gagne,NA,NA
2020-05-23T00:00:00Z,raisin,18.3125,NA
2020-05-23T00:00:00Z,simone,10.625,NA
2020-05-23T00:00:00Z,gagne,NA,NA
2020-05-30T00:00:00Z,raisin,18.3125,NA
2020-05-30T00:00:00Z,simone,10.5,NA
2020-05-30T00:00:00Z,gagne,NA,NA
2020-06-04T00:00:00Z,raisin,18.3125,NA
2020-06-04T00:00:00Z,simone,10.25,NA
2020-06-04T00:00:00Z,gagne,NA,NA
2020-06-09T00:00:00Z,raisin,18.4375,20.975
2020-06-09T00:00:00Z,simone,10.5,20.975
2020-06-09T00:00:00Z,gagne,NA,20.975
2020-06-10T00:00:00Z,raisin,18.1875,NA
2020-06-10T00:00:00Z,simone,10.375,NA
2020-06-10T00:00:00Z,gagne,NA,NA
2020-06-13T00:00:00Z,raisin,18.125,NA
2020-06-13T00:00:00Z,simone,10.5625,NA
2020-06-13T00:00:00Z,gagne,NA,NA
